periode_data,bulan,wilayah,kecamatan,kelurahan,jumlah_rata_rata_ketinggian_air,jumlah_rw_terdampak,jumlah_kk_terdampak,jumlah_jiwa_terdampak,jumlah_kejadian,jumlah_korban_meninggal,jumlah_korban_luka,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
202306,5,KEPULAUAN SERIBU,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202306,6,JAKARTA PUSAT,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202306,6,JAKARTA UTARA,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202306,6,JAKARTA BARAT,KEMBANGAN,JOGLO,35 CM,1,0,0,1,0,0,0,0,0
202306,6,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,30 S.D 40 CM,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,45 sm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,40 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,60 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,50 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,40 s.d. 100 cm,2,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,40 s.d. 55 cm,2,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,PANCORAN,DUREN TIGA,70 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA SELATAN,CILANDAK,PONDOK LABU,45 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,60 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA TIMUR,KRAMAT JATI,TENGAH,50 cm,1,0,0,1,0,0,0,0,0
202303,1,KEPULAUAN SERIBU,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202303,2,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,30 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,50 s.d 60 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA UTARA,CILINCING,MARUNDA,30 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,20 s.d 110 cm,4,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KEMBANGAN,JOGLO,20 s.d 55 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,20 s.d 70 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,20 s.d 70 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,45 s.d 55 cm,2,31,72,1,0,0,1,72,0
202303,2,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,30 s.d 55 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KALIDERES,TEGAL ALUR,20 s.d 50 cm,3,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,KALIDERES,KAMAL,20 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,20 s.d 120 cm,3,0,0,1,0,0,0,0,0
202303,2,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,30 s.d 80 cm,2,21,95,1,0,0,1,95,0
202303,2,JAKARTA BARAT,CENGKARENG,KEDAUNG KALIANGKE,40 cm,2,82,173,1,0,0,3,179,0
202303,2,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,30 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,20 s.d 160 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,30 s.d 45 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,40 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,80 s.d 150 cm,4,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,60 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,50 s.d 80 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,30 s.d 60 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,20 s.d 30 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,30 s.d 60 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,50 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,20 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,25 s.d 40 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,40 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,30 s.d 60 cm,3,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,30 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,TEBET,BUKIT DURI,40 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,TEBET,MANGGARAI,40 s.d 60 cm,4,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,TEBET,KEBON BARU,50 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PANCORAN,RAWAJATI,70 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA SELATAN,PANCORAN,PENGADEGAN,30 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,20 s.d 40 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,50 s.d 140 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,KRAMAT JATI,CAWANG,35 s.d 200 cm,5,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,KRAMAT JATI,DUKUH,45 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,KRAMAT JATI,BALEKAMBANG,100 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,20 s.d 180 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,30 s.d 175 cm,4,0,0,1,0,0,1,7,0
202303,2,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,30 s.d 60 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,CIRACAS,CIRACAS,100 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,CIRACAS,SUSUKAN,40 s.d 100 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,CIRACAS,RAMBUTAN,100 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,20 cm,1,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,CAKUNG,RAWA TERATE,10 s.d 30 cm,3,212,877,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,PULOGADUNG,JATINEGARA KAUM,20 s.d 35 cm,2,0,0,1,0,0,0,0,0
202303,2,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,40 cm,1,0,0,1,0,0,0,0,0
202303,2,KEPULAUAN SERIBU,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202303,3,JAKARTA PUSAT,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202303,3,JAKARTA UTARA,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202303,3,JAKARTA BARAT,KALIDERES,TEGAL ALUR,20 s.d 90 cm,7,0,0,1,0,0,3,120,0
202303,3,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,20 s.d 40 cm,3,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,20 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,25 s.d 30 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,30 cm,2,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,KEBON JERUK,DURI KEPA,20 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,20 s.d 80 cm ,2,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,25 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,20 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA BARAT,PALMERAH,KEMANGGISAN,30 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,30 s.d 50 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,15 s.d 30 cm ,2,0,0,1,0,0,1,30,0
202303,3,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,65 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,30 s.d 50 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,30 s.d 60 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,15 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,15 s.d 30 cm ,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,30 s.d 35 cm ,1,150,400,1,0,0,0,0,0
202303,3,JAKARTA TIMUR,KRAMAT JATI,CAWANG,20 s.d 120 cm ,6,0,0,1,0,0,0,0,0
202303,3,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,30 s.d 50 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA TIMUR,CAKUNG,PULOGEBANG,30 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,25 s.d 60 Cm ,2,0,0,1,0,0,0,0,0
202303,3,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,30 cm,1,0,0,1,0,0,0,0,0
202303,3,JAKARTA TIMUR,DUREN SAWIT,KAMPUNG MELAYU,25 s.d 100 cm ,4,0,0,1,0,0,0,0,0
202303,3,KEPULAUAN SERIBU,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202303,1,JAKARTA PUSAT,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202303,1,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,40 cm,1,6,13,1,0,0,3,13,0
202303,1,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,30 s.d. 40 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA UTARA,PENJARINGAN,PLUIT,20 s.d. 30 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA UTARA,CILINCING,SEMPER TIMUR,25 s.d. 40 cm,2,18,42,1,0,0,1,42,0
202303,1,JAKARTA UTARA,CILINCING,MARUNDA,20 s.d. 30 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA UTARA,KOJA,KOJA,20 s.d. 25 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA BARAT,KALIDERES,TEGAL ALUR,20 s.d. 40 cm,3,0,0,1,0,0,0,0,0
202303,1,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,80 s.d. 100 cm,1,0,0,1,0,0,0,0,0
202303,1,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,40 cm,1,0,0,1,0,0,0,0,0
